epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,163.779,1.11139,0.73005,1.08556,0.87281,0.8125,0.87831,0.44682,1.63831,0.98935,1.45059,0.001406,0.001406,0.001406
62,166.447,1.09183,0.72106,1.07227,0.84074,0.73438,0.84086,0.42035,1.58795,1.0101,1.45573,0.0013961,0.0013961,0.0013961
63,169.016,1.10998,0.72443,1.08061,0.78545,0.75,0.82042,0.4238,1.58971,0.904,1.43133,0.0013862,0.0013862,0.0013862
64,171.632,1.05019,0.69412,1.05235,0.78203,0.75,0.78849,0.41512,1.60114,0.98871,1.44772,0.0013763,0.0013763,0.0013763
65,174.28,1.08622,0.73886,1.0665,0.82637,0.76562,0.85161,0.41479,1.72275,1.06684,1.4871,0.0013664,0.0013664,0.0013664
66,176.93,1.03694,0.69175,1.04787,0.79514,0.79688,0.8381,0.43106,1.67219,0.99487,1.43915,0.0013565,0.0013565,0.0013565
67,179.534,1.00186,0.62625,1.02299,0.79666,0.85705,0.84875,0.41954,1.65642,0.98303,1.45155,0.0013466,0.0013466,0.0013466
68,182.208,1.04276,0.66658,1.05171,0.78749,0.86855,0.83839,0.4517,1.58455,0.94834,1.37967,0.0013367,0.0013367,0.0013367
69,184.847,1.05418,0.70831,1.06025,0.82201,0.76562,0.8303,0.42798,1.63942,0.93524,1.41557,0.0013268,0.0013268,0.0013268
70,187.484,1.05305,0.68336,1.0768,0.73924,0.84375,0.8392,0.45943,1.59262,0.96852,1.39036,0.0013169,0.0013169,0.0013169
71,190.088,1.06803,0.6413,1.04695,0.8661,0.84375,0.85415,0.45,1.57144,0.9652,1.38676,0.001307,0.001307,0.001307
72,192.784,1.11391,0.70837,1.07314,0.72073,0.82812,0.7984,0.40906,1.62789,0.99148,1.4112,0.0012971,0.0012971,0.0012971
73,195.56,1.03759,0.65716,1.0471,0.89452,0.8125,0.87402,0.46516,1.53253,0.85917,1.37461,0.0012872,0.0012872,0.0012872
